Timestamp,Name of your startup,In which sector does your startup belongs to ?,What are the top challenges your startup is currently facing ?,How would you rate the the ease of accessing government schemes and support ?,Have government schemes helped in improving your startup's access to funding or resources ?,On a scale  of 1 to 5 how would you rate the overall startup ecosystem in Kerala ?,What would you suggest to improve Kerala's startup ecosystem ?,What role do you think government incubators and accelerators have played in your startup's journey ?,What are the key challenges your startup encounters while hiring and retaining skilled talent within Kerala ?,What are the key challenges you face in accessing investors within the Kerala ecosystem?," On a scale of 1-5, how would you rate the availability of skilled labor in Kerala for your startup's needs? ",What are the key advantage of starting a business in Kerala? ,How competitive do you find the startup landscape in Kerala ? ,What emerging trend or technology do you see influencing the startup ecosystem in Kerala over the next few years ? , In your opinion what is the likelihood (in percentage) that a startup will survive in Kerala’s current ecosystem ? ,Is there any specific sector in Kerala that you believe which receive more support or attention compared to other ? ,What is the percentage probability that a startup will receive external funding? 
12/04/2024 21:33:46,sirach technologies pvt ltd,Others,"Regulatory hurdles, Infrastructure issues",3.0,Partially,3.0,Policy reforms,Crucial support for early stages,Skill gap and talent shortage,Investors hesitant to invest in early-stage startups,3.0,Quality of life,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",30-40%,IT/ITes,20-30%
09/10/2024 12:29:42,Iboson Innovations Pvt Ltd,Artificial Intelligence,Hiring talent,2.0,Partially,4.0,Improved networking oppurtunities,"Crucial support for early stages, Access to networks and partnerships",Skill gap and talent shortage,Lack of Investor Networks,1.0,Social infrastructure & connectivity,Highly competitive in certain sectors,Blockchain and fintech,40-50%,IOT,30-40%
10/19/2024 07:38:44,SABIT ,IT/ITeS,"Hiring talent, Market competition",3.0,Partially,2.0,Better infrastructure,"Boosting credibility and visibility, Limited impact or bureaucratic delays","Retention and competition, Limited industry exposure","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",2.0,Government support & startup ecosystem,Highly competitive in certain sectors,Blockchain and fintech,20-30%,Edtech,20-30%
10/27/2024 11:55:26,THINC DIGITAL LEARNING PRIVATE LIMITED,Edtech,"Market competition, Regulatory hurdles",3.0,No,4.0,"Better infrastructure, Others","Access to networks and partnerships, Limited impact or bureaucratic delays","Retention and competition, Work culture and migration","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Complex procedures or regulations that make it harder to pitch to investors",3.0,"Government support & startup ecosystem, Others",Collaborative more than competetive,"Sustainable and green technologies, Blockchain and fintech, Health tech and telemedicine",30-40%,Edtech,20-30%
09/14/2024 22:28:58,Cookd Ventures Pvt Ltd,Others,Market competition,3.0,Partially,3.0,More access to funding,Crucial support for early stages,Limited industry exposure,Lack of Investor Networks,3.0,Quality of life,Highly competitive in certain sectors,Artificial intelligence and machine learning,40-50%,IOT,30-40%
11/07/2024 05:43:41,TANGENTUP LABS PRIVATE LIMITED,HealthTech,"Hiring talent, Regulatory hurdles",2.0,Partially,2.0,"Better infrastructure, Others",Access to networks and partnerships,Limited industry exposure,Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai,2.0,Government support & startup ecosystem,Less competetive compared to larger hubs,Sustainable and green technologies,20-30%,Health Tech,20-30%
09/08/2024 21:22:16,VIBGYOR GLOBAL WEB SOLUTIONS,IOT,"Access to funding, Hiring talent, Market competition",2.0,No,3.0,"Policy reforms, More access to funding, Improved networking oppurtunities","Crucial support for early stages, Boosting credibility and visibility","Skill gap and talent shortage, Retention and competition","Investors hesitant to invest in early-stage startups, Complex procedures or regulations that make it harder to pitch to investors, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",4.0,"Skilled workforce, Quality of life, Government support & startup ecosystem",Highly competitive in certain sectors,Artificial intelligence and machine learning,20-30%,Fintech,10-20%
10/25/2024 22:43:08,RENOVATEETH LLP,IT/ITeS,"Access to funding, Hiring talent, Infrastructure issues",3.0,No,2.0,"Policy reforms, More access to funding","Crucial support for early stages, Limited impact or bureaucratic delays","Skill gap and talent shortage, Retention and competition","Investors hesitant to invest in early-stage startups, Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai",3.0,"Skilled workforce, Quality of life",Highly competitive in certain sectors,Artificial intelligence and machine learning,10-20%,IT/ITes,upto 10%
10/20/2024 18:59:53,Instigator E-Supporting Services ,HealthTech,Access to funding,3.0,No,3.0,Better infrastructure,Crucial support for early stages,Limited industry exposure,Complex procedures or regulations that make it harder to pitch to investors,3.0,Quality of life,Moderately competitive but growing,Artificial intelligence and machine learning,upto 10%,IT/ITes,upto 10%
10/10/2024 05:06:05,LIVING THEATRE PRIVATE LIMITED ,HealthTech,"Market competition, Infrastructure issues",2.0,Partially,3.0,More access to funding,Access to networks and partnerships,"Skill gap and talent shortage, Limited industry exposure","Geographic constraints like distance from major investment hubs like Bangalore                                                              Mumbai, Fewer angel investor groups, venture capital firms, or funding institutions specific to Kerala.",2.0,Government support & startup ecosystem,Highly competitive in certain sectors,"Artificial intelligence and machine learning, Sustainable and green technologies",10-20%,Health Tech,10-20%
